province_state,country_region,date,confirmed,deaths,recovered,active
Aruba,Netherlands,2022-07-31,42080,224,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-07-31,10834,37,,
Curacao,Netherlands,2022-07-31,45063,282,,
Drenthe,Netherlands,2022-07-31,209526,458,,
Flevoland,Netherlands,2022-07-31,190101,336,,
Friesland,Netherlands,2022-07-31,284792,619,,
Gelderland,Netherlands,2022-07-31,1016764,2840,,
Groningen,Netherlands,2022-07-31,256296,359,,
Limburg,Netherlands,2022-07-31,544047,2178,,
Noord-Brabant,Netherlands,2022-07-31,1266947,3722,,
Noord-Holland,Netherlands,2022-07-31,1371937,3416,,
Overijssel,Netherlands,2022-07-31,581854,1427,,
Sint Maarten,Netherlands,2022-07-31,10741,87,,
Unknown,Netherlands,2022-07-31,0,0,,
Utrecht,Netherlands,2022-07-31,685888,1546,,
Zeeland,Netherlands,2022-07-31,174052,392,,
Zuid-Holland,Netherlands,2022-07-31,1748998,5199,,
Aruba,Netherlands,2021-10-21,15779,171,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-10-21,2373,19,,
Curacao,Netherlands,2021-10-21,16984,172,,
Drenthe,Netherlands,2021-10-21,40901,361,,
Flevoland,Netherlands,2021-10-21,46134,255,,
Friesland,Netherlands,2021-10-21,56354,491,,
Gelderland,Netherlands,2021-10-21,229414,2112,,
Groningen,Netherlands,2021-10-21,52362,271,,
Limburg,Netherlands,2021-10-21,137542,1714,,
Noord-Brabant,Netherlands,2021-10-21,320857,3188,,
Noord-Holland,Netherlands,2021-10-21,352076,2745,,
Overijssel,Netherlands,2021-10-21,134437,1168,,
Sint Maarten,Netherlands,2021-10-21,4468,75,,
Unknown,Netherlands,2021-10-21,6774,16,,
Utrecht,Netherlands,2021-10-21,160235,1307,,
Zeeland,Netherlands,2021-10-21,35714,259,,
Zuid-Holland,Netherlands,2021-10-21,491929,4393,,
Aruba,Netherlands,2020-12-31,5489,49,5149,291
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-12-31,196,3,180,13
Curacao,Netherlands,2020-12-31,4260,14,2925,1321
Drenthe,Netherlands,2020-12-31,13482,138,0,13344
Flevoland,Netherlands,2020-12-31,19538,156,0,19382
Friesland,Netherlands,2020-12-31,14776,172,0,14604
Gelderland,Netherlands,2020-12-31,88252,1309,0,86943
Groningen,Netherlands,2020-12-31,15022,90,0,14932
Limburg,Netherlands,2020-12-31,47476,1023,0,46453
Noord-Brabant,Netherlands,2020-12-31,124623,2382,0,122241
Noord-Holland,Netherlands,2020-12-31,136570,1627,0,134943
Overijssel,Netherlands,2020-12-31,54019,686,0,53333
Sint Maarten,Netherlands,2020-12-31,1456,27,1331,98
Unknown,Netherlands,2020-12-31,3668,34,0,3634
Utrecht,Netherlands,2020-12-31,66856,868,0,65988
Zeeland,Netherlands,2020-12-31,10462,127,0,10335
Zuid-Holland,Netherlands,2020-12-31,202237,2820,0,199417
Aruba,Netherlands,2021-10-04,15543,167,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-10-04,2157,19,,
Curacao,Netherlands,2021-10-04,16618,165,,
Drenthe,Netherlands,2021-10-04,39702,358,,
Flevoland,Netherlands,2021-10-04,44776,252,,
Friesland,Netherlands,2021-10-04,54263,488,,
Gelderland,Netherlands,2021-10-04,221777,2098,,
Groningen,Netherlands,2021-10-04,51094,268,,
Limburg,Netherlands,2021-10-04,132816,1698,,
Noord-Brabant,Netherlands,2021-10-04,314422,3173,,
Noord-Holland,Netherlands,2021-10-04,345384,2730,,
Overijssel,Netherlands,2021-10-04,130089,1166,,
Sint Maarten,Netherlands,2021-10-04,4342,68,,
Unknown,Netherlands,2021-10-04,6393,15,,
Utrecht,Netherlands,2021-10-04,155474,1304,,
Zeeland,Netherlands,2021-10-04,34489,258,,
Zuid-Holland,Netherlands,2021-10-04,478969,4376,,
Aruba,Netherlands,2020-09-21,3587,24,2369,1194
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-09-21,36,1,17,18
Curacao,Netherlands,2020-09-21,282,1,102,179
Drenthe,Netherlands,2020-09-21,791,41,0,750
Flevoland,Netherlands,2020-09-21,1812,97,0,1715
Friesland,Netherlands,2020-09-21,1083,69,0,1014
Gelderland,Netherlands,2020-09-21,9481,693,0,8788
Groningen,Netherlands,2020-09-21,1144,19,0,1125
Limburg,Netherlands,2020-09-21,6067,760,0,5307
Noord-Brabant,Netherlands,2020-09-21,14670,1552,0,13118
Noord-Holland,Netherlands,2020-09-21,19041,842,0,18199
Overijssel,Netherlands,2020-09-21,4167,314,0,3853
Sint Maarten,Netherlands,2020-09-21,591,20,505,66
Unknown,Netherlands,2020-09-21,829,18,0,811
Utrecht,Netherlands,2020-09-21,7574,437,0,7137
Zeeland,Netherlands,2020-09-21,1246,72,0,1174
Zuid-Holland,Netherlands,2020-09-21,28090,1367,0,26723
Aruba,Netherlands,2021-07-04,11144,107,11009,28
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-07-04,1651,17,1619,15
Curacao,Netherlands,2021-07-04,12349,126,12199,24
Drenthe,Netherlands,2021-07-04,34331,353,0,33978
Flevoland,Netherlands,2021-07-04,37057,244,0,36813
Friesland,Netherlands,2021-07-04,43885,478,0,43407
Gelderland,Netherlands,2021-07-04,189173,2028,0,187145
Groningen,Netherlands,2021-07-04,39540,263,0,39277
Limburg,Netherlands,2021-07-04,115809,1654,0,114155
Noord-Brabant,Netherlands,2021-07-04,273586,3140,0,270446
Noord-Holland,Netherlands,2021-07-04,279179,2627,0,276552
Overijssel,Netherlands,2021-07-04,110620,1141,0,109479
Sint Maarten,Netherlands,2021-07-04,2620,33,2561,26
Unknown,Netherlands,2021-07-04,3862,15,0,3847
Utrecht,Netherlands,2021-07-04,128909,1280,0,127629
Zeeland,Netherlands,2021-07-04,30010,248,0,29762
Zuid-Holland,Netherlands,2021-07-04,403145,4285,0,398860
Aruba,Netherlands,2020-04-23,100,2,68,30
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-23,5,0,0,5
Curacao,Netherlands,2020-04-23,14,1,11,2
Sint Maarten,Netherlands,2020-04-23,73,12,22,39
,Netherlands,2020-04-23,35729,4177,0,31552
Aruba,Netherlands,2022-07-18,41787,224,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-07-18,10567,37,,
Curacao,Netherlands,2022-07-18,44932,282,,
Drenthe,Netherlands,2022-07-18,208460,454,,
Flevoland,Netherlands,2022-07-18,189110,335,,
Friesland,Netherlands,2022-07-18,283684,618,,
Gelderland,Netherlands,2022-07-18,1009570,2826,,
Groningen,Netherlands,2022-07-18,255098,358,,
Limburg,Netherlands,2022-07-18,540527,2173,,
Noord-Brabant,Netherlands,2022-07-18,1259790,3715,,
Noord-Holland,Netherlands,2022-07-18,1365059,3402,,
Overijssel,Netherlands,2022-07-18,579140,1426,,
Sint Maarten,Netherlands,2022-07-18,10656,87,,
Unknown,Netherlands,2022-07-18,0,0,,
Utrecht,Netherlands,2022-07-18,682932,1543,,
Zeeland,Netherlands,2022-07-18,172839,392,,
Zuid-Holland,Netherlands,2022-07-18,1740951,5190,,
Netherlands,Netherlands,2020-03-18,2051,58,2,
