,ID,Timestamp,Date,Time,Hour,Incident,Borough,Station
0,040741-04042017,2017-04-04 20:44:06+00:00,2017-04-04,20:44:06,20,Firefighting,REDBRIDGE,Leytonstone
1,005509-13012017,2017-01-13 19:49:12+00:00,2017-01-13,19:49:12,19,Firefighting,BROMLEY,Orpington
2,052246-26042017,2017-04-26 19:57:45+00:00,2017-04-26,19:57:45,19,Firefighting,CROYDON,Addington
3,014805-04022017,2017-02-04 18:57:47+00:00,2017-02-04,18:57:47,18,Firefighting,ENFIELD,Southgate
4,012336-29012017,2017-01-29 12:48:43+00:00,2017-01-29,12:48:43,12,Firefighting,GREENWICH,Greenwich
5,017339-10022017,2017-02-10 20:49:49+00:00,2017-02-10,20:49:49,20,Firefighting,HARINGEY,Tottenham
6,013560-01022017,2017-02-01 14:39:35+00:00,2017-02-01,14:39:35,14,Firefighting,HAVERING,Harold Hill
7,001299-03012017,2017-01-03 19:27:40+00:00,2017-01-03,19:27:40,19,Firefighting,HAVERING,Romford
8,005870-14012017,2017-01-14 18:50:40+00:00,2017-01-14,18:50:40,18,Firefighting,KINGSTON UPON THAMES,Surbiton
9,034166-21032017,2017-03-21 19:57:54+00:00,2017-03-21,19:57:54,19,Firefighting,LAMBETH,West Norwood
10,030997-14032017,2017-03-14 18:35:04+00:00,2017-03-14,18:35:04,18,Firefighting,RICHMOND UPON THAMES,Hammersmith
11,012353-29012017,2017-01-29 13:53:33+00:00,2017-01-29,13:53:33,13,Firefighting,RICHMOND UPON THAMES,Richmond
12,025107-28022017,2017-02-28 17:56:55+00:00,2017-02-28,17:56:55,17,Firefighting,RICHMOND UPON THAMES,Twickenham
13,026045-02032017,2017-03-02 20:09:45+00:00,2017-03-02,20:09:45,20,Firefighting,SUTTON,Wallington
14,000353-01012017,2017-01-01 16:53:45+00:00,2017-01-01,16:53:45,16,Firefighting,SUTTON,Sutton
15,013112-31012017,2017-01-31 13:19:04+00:00,2017-01-31,13:19:04,13,Firefighting,SUTTON,Sutton
16,005845-14012017,2017-01-14 18:05:17+00:00,2017-01-14,18:05:17,18,Firefighting,TOWER HAMLETS,Poplar
17,002206-05012017,2017-01-05 20:41:16+00:00,2017-01-05,20:41:16,20,Firefighting, NOT GEO-CODED,OverTheBorder
18,002312-05012017,2017-01-05 23:16:22+00:00,2017-01-05,23:16:22,23,Firefighting, NOT GEO-CODED,OverTheBorder
19,002420-06012017,2017-01-06 06:48:59+00:00,2017-01-06,06:48:59,6,Firefighting, NOT GEO-CODED,OverTheBorder
20,003532-08012017,2017-01-08 18:29:16+00:00,2017-01-08,18:29:16,18,Firefighting, NOT GEO-CODED,OverTheBorder
21,003575-08012017,2017-01-08 20:34:53+00:00,2017-01-08,20:34:53,20,Firefighting, NOT GEO-CODED,OverTheBorder
22,003911-09012017,2017-01-09 18:29:38+00:00,2017-01-09,18:29:38,18,Firefighting, NOT GEO-CODED,OverTheBorder
23,004702-11012017,2017-01-11 20:21:57+00:00,2017-01-11,20:21:57,20,Firefighting, NOT GEO-CODED,OverTheBorder
24,005048-12012017,2017-01-12 17:16:24+00:00,2017-01-12,17:16:24,17,Firefighting, NOT GEO-CODED,OverTheBorder
25,005687-14012017,2017-01-14 09:27:54+00:00,2017-01-14,09:27:54,9,Firefighting, NOT GEO-CODED,OverTheBorder
26,007153-17012017,2017-01-17 21:29:01+00:00,2017-01-17,21:29:01,21,Firefighting, NOT GEO-CODED,Orpington
27,007828-19012017,2017-01-19 14:15:33+00:00,2017-01-19,14:15:33,14,Firefighting, NOT GEO-CODED,OverTheBorder
28,008880-21012017,2017-01-21 18:39:57+00:00,2017-01-21,18:39:57,18,Firefighting, NOT GEO-CODED,OverTheBorder
29,008947-21012017,2017-01-21 20:43:12+00:00,2017-01-21,20:43:12,20,Firefighting, NOT GEO-CODED,OverTheBorder
30,009604-23012017,2017-01-23 09:06:14+00:00,2017-01-23,09:06:14,9,Firefighting, NOT GEO-CODED,OverTheBorder
31,010740-25012017,2017-01-25 19:19:10+00:00,2017-01-25,19:19:10,19,Firefighting, NOT GEO-CODED,OverTheBorder
32,013032-31012017,2017-01-31 10:08:04+00:00,2017-01-31,10:08:04,10,Firefighting, NOT GEO-CODED,OverTheBorder
33,014841-04022017,2017-02-04 20:27:07+00:00,2017-02-04,20:27:07,20,Firefighting, NOT GEO-CODED,OverTheBorder
34,014854-04022017,2017-02-04 20:55:41+00:00,2017-02-04,20:55:41,20,Firefighting, NOT GEO-CODED,OverTheBorder
35,015976-07022017,2017-02-07 16:37:02+00:00,2017-02-07,16:37:02,16,Firefighting, NOT GEO-CODED,OverTheBorder
36,018139-12022017,2017-02-12 17:29:55+00:00,2017-02-12,17:29:55,17,Firefighting, NOT GEO-CODED,OverTheBorder
37,019595-16022017,2017-02-16 09:38:19+00:00,2017-02-16,09:38:19,9,Firefighting, NOT GEO-CODED,OverTheBorder
38,020300-17022017,2017-02-17 20:35:23+00:00,2017-02-17,20:35:23,20,Firefighting, NOT GEO-CODED,OverTheBorder
39,020381-18022017,2017-02-18 01:05:13+00:00,2017-02-18,01:05:13,1,Firefighting, NOT GEO-CODED,OverTheBorder
40,020453-18022017,2017-02-18 08:58:40+00:00,2017-02-18,08:58:40,8,Firefighting, NOT GEO-CODED,OverTheBorder
41,022099-22022017,2017-02-22 16:26:53+00:00,2017-02-22,16:26:53,16,Firefighting, NOT GEO-CODED,Hayes
42,022168-22022017,2017-02-22 19:06:33+00:00,2017-02-22,19:06:33,19,Firefighting, NOT GEO-CODED,OverTheBorder
43,022474-23022017,2017-02-23 11:55:33+00:00,2017-02-23,11:55:33,11,Firefighting, NOT GEO-CODED,OverTheBorder
44,023160-24022017,2017-02-24 08:11:24+00:00,2017-02-24,08:11:24,8,Firefighting, NOT GEO-CODED,Enfield
45,026199-03032017,2017-03-03 09:52:49+00:00,2017-03-03,09:52:49,9,Firefighting, NOT GEO-CODED,OverTheBorder
46,029753-11032017,2017-03-11 21:50:33+00:00,2017-03-11,21:50:33,21,Firefighting, NOT GEO-CODED,OverTheBorder
47,030129-12032017,2017-03-12 18:21:23+00:00,2017-03-12,18:21:23,18,Firefighting, NOT GEO-CODED,OverTheBorder
48,031607-16032017,2017-03-16 06:32:05+00:00,2017-03-16,06:32:05,6,Firefighting, NOT GEO-CODED,OverTheBorder
49,033721-20032017,2017-03-20 18:12:54+00:00,2017-03-20,18:12:54,18,Firefighting, NOT GEO-CODED,OverTheBorder
50,033737-20032017,2017-03-20 18:44:20+00:00,2017-03-20,18:44:20,18,Firefighting, NOT GEO-CODED,OverTheBorder
51,036655-27032017,2017-03-27 15:30:12+00:00,2017-03-27,15:30:12,15,Firefighting, NOT GEO-CODED,OverTheBorder
52,037312-28032017,2017-03-28 20:25:31+00:00,2017-03-28,20:25:31,20,Firefighting, NOT GEO-CODED,OverTheBorder
53,037597-29032017,2017-03-29 13:33:14+00:00,2017-03-29,13:33:14,13,Firefighting, NOT GEO-CODED,OverTheBorder
54,039570-02042017,2017-04-02 14:00:43+00:00,2017-04-02,14:00:43,14,Firefighting, NOT GEO-CODED,OverTheBorder
55,039742-02042017,2017-04-02 20:10:20+00:00,2017-04-02,20:10:20,20,Firefighting, NOT GEO-CODED,OverTheBorder
56,040875-05042017,2017-04-05 06:44:23+00:00,2017-04-05,06:44:23,6,Firefighting, NOT GEO-CODED,OverTheBorder
57,041792-07042017,2017-04-07 05:58:58+00:00,2017-04-07,05:58:58,5,Firefighting, NOT GEO-CODED,OverTheBorder
58,042343-08042017,2017-04-08 06:11:32+00:00,2017-04-08,06:11:32,6,Firefighting, NOT GEO-CODED,OverTheBorder
59,044438-11042017,2017-04-11 13:48:17+00:00,2017-04-11,13:48:17,13,Firefighting, NOT GEO-CODED,OverTheBorder
60,045283-12042017,2017-04-12 22:00:10+00:00,2017-04-12,22:00:10,22,Firefighting, NOT GEO-CODED,OverTheBorder
61,045933-14042017,2017-04-14 08:59:55+00:00,2017-04-14,08:59:55,8,Firefighting, NOT GEO-CODED,OverTheBorder
62,046048-14042017,2017-04-14 13:57:14+00:00,2017-04-14,13:57:14,13,Firefighting, NOT GEO-CODED,OverTheBorder
63,046314-15042017,2017-04-15 01:38:37+00:00,2017-04-15,01:38:37,1,Firefighting, NOT GEO-CODED,OverTheBorder
64,046342-15042017,2017-04-15 03:41:08+00:00,2017-04-15,03:41:08,3,Firefighting, NOT GEO-CODED,OverTheBorder
65,046354-15042017,2017-04-15 05:04:32+00:00,2017-04-15,05:04:32,5,Firefighting, NOT GEO-CODED,OverTheBorder
66,047765-18042017,2017-04-18 07:45:26+00:00,2017-04-18,07:45:26,7,Firefighting, NOT GEO-CODED,OverTheBorder
67,052394-27042017,2017-04-27 07:03:57+00:00,2017-04-27,07:03:57,7,Firefighting, NOT GEO-CODED,OverTheBorder
68,052792-27042017,2017-04-27 22:06:03+00:00,2017-04-27,22:06:03,22,Firefighting, NOT GEO-CODED,OverTheBorder
69,000006-01012017,2017-01-01 00:07:57+00:00,2017-01-01,00:07:57,0,Firefighting,BARKING AND DAGENHAM,Barking
70,000520-02012017,2017-01-02 02:45:34+00:00,2017-01-02,02:45:34,2,Firefighting,BARKING AND DAGENHAM,Barking
71,003836-09012017,2017-01-09 16:29:17+00:00,2017-01-09,16:29:17,16,Firefighting,BARKING AND DAGENHAM,Barking
72,014019-02022017,2017-02-02 17:43:23+00:00,2017-02-02,17:43:23,17,Firefighting,BARKING AND DAGENHAM,Barking
73,015737-07022017,2017-02-07 06:25:56+00:00,2017-02-07,06:25:56,6,Firefighting,BARKING AND DAGENHAM,Barking
74,020269-17022017,2017-02-17 19:36:13+00:00,2017-02-17,19:36:13,19,Firefighting,BARKING AND DAGENHAM,Barking
75,037960-30032017,2017-03-30 11:19:30+00:00,2017-03-30,11:19:30,11,Firefighting,BARKING AND DAGENHAM,Barking
76,038366-31032017,2017-03-31 00:06:38+00:00,2017-03-31,00:06:38,0,Firefighting,BARKING AND DAGENHAM,Barking
77,039181-01042017,2017-04-01 16:48:53+00:00,2017-04-01,16:48:53,16,Firefighting,BARKING AND DAGENHAM,Barking
78,040792-04042017,2017-04-04 23:25:31+00:00,2017-04-04,23:25:31,23,Firefighting,BARKING AND DAGENHAM,Barking
79,049373-21042017,2017-04-21 00:45:26+00:00,2017-04-21,00:45:26,0,Firefighting,BARKING AND DAGENHAM,Barking
80,007835-19012017,2017-01-19 14:22:36+00:00,2017-01-19,14:22:36,14,Firefighting,BARKING AND DAGENHAM,Dagenham
81,019408-15022017,2017-02-15 18:51:04+00:00,2017-02-15,18:51:04,18,Firefighting,BARKING AND DAGENHAM,Dagenham
